id,name,wikidata
quebec_(beauport—côte-de-beaupré—Île_d'orléans—charlevoix),Quebec (Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix),Q528161
quebec_(beauport—limoilou),Quebec (Beauport—Limoilou),Q2893257
new_brunswick_(beauséjour),New Brunswick (Beauséjour),Q2893293
quebec_(bécancour—nicolet—saurel),Quebec (Bécancour—Nicolet—Saurel),Q2886296
quebec_(bellechasse—les_etchemins—lévis),Quebec (Bellechasse—Les Etchemins—Lévis),Q3272022
quebec_(beloeil—chambly),Quebec (Beloeil—Chambly),Q16840121
quebec_(berthier—maskinongé),Quebec (Berthier—Maskinongé),Q2899323
saskatchewan_(blackstrap),Saskatchewan (Blackstrap),Q2905600
newfoundland_and_labrador_(bonavista—burin—trinity),Newfoundland and Labrador (Bonavista—Burin—Trinity),Q16844235
newfoundland_and_labrador_(bonavista—gander—grand_falls—windsor),Newfoundland and Labrador (Bonavista—Gander—Grand Falls—Windsor),Q2909949
quebec_(bourassa),Quebec (Bourassa),Q2922232
alberta_(bow_river),Alberta (Bow River),Q2922698
ontario_(bramalea—gore—malton),Ontario (Bramalea—Gore—Malton),Q2923633
ontario_(brampton_centre),Ontario (Brampton Centre),Q2923648
ontario_(brampton_east),Ontario (Brampton East),Q16953382
ontario_(brampton_north),Ontario (Brampton North),Q16953394
ontario_(brampton_south),Ontario (Brampton South),Q16966835
ontario_(brampton_west),Ontario (Brampton West),Q2923649
ontario_(brampton—springdale),Ontario (Brampton—Springdale),Q2923653
manitoba_(brandon—souris),Manitoba (Brandon—Souris),Q2923794
ontario_(brant),Ontario (Brant),Q2923856
ontario_(brantford—brant),Ontario (Brantford—Brant),Q2923856
british_columbia_(british_columbia_southern_interior),British Columbia (British Columbia Southern Interior),Q2984157
quebec_(brome—missisquoi),Quebec (Brome—Missisquoi),Q2926009
quebec_(brossard—la_prairie),Quebec (Brossard—La Prairie),Q576452
quebec_(brossard—saint-lambert),Quebec (Brossard—Saint-Lambert),Q16847474
ontario_(bruce—grey—owen_sound),Ontario (Bruce—Grey—Owen Sound),Q2926493
ontario_(burlington),Ontario (Burlington),Q774538
british_columbia_(burnaby_north—seymour),British Columbia (Burnaby North—Seymour),Q16954585
british_columbia_(burnaby_south),British Columbia (Burnaby South),Q16966970
british_columbia_(burnaby—douglas),British Columbia (Burnaby—Douglas),Q2928548
british_columbia_(burnaby—new_westminster),British Columbia (Burnaby—New Westminster),Q2928547
alberta_(calgary_centre),Alberta (Calgary Centre),Q2933894
alberta_(calgary_centre-north),Alberta (Calgary Centre-North),Q2933895
alberta_(calgary_confederation),Alberta (Calgary Confederation),Q16850460
alberta_(calgary_east),Alberta (Calgary East),Q2933898
alberta_(calgary_forest_lawn),Alberta (Calgary Forest Lawn),Q16850464
alberta_(calgary_heritage),Alberta (Calgary Heritage),Q16850469
alberta_(calgary_midnapore),Alberta (Calgary Midnapore),Q16850474
alberta_(calgary_northeast),Alberta (Calgary Northeast),Q2933900
alberta_(calgary_nose_hill),Alberta (Calgary Nose Hill),Q2933912
alberta_(calgary_rocky_ridge),Alberta (Calgary Rocky Ridge),Q16850493
alberta_(calgary_shepard),Alberta (Calgary Shepard),Q16850498
alberta_(calgary_signal_hill),Alberta (Calgary Signal Hill),Q16954913
alberta_(calgary_skyview),Alberta (Calgary Skyview),Q16850507
alberta_(calgary_southeast),Alberta (Calgary Southeast),Q2933904
alberta_(calgary_southwest),Alberta (Calgary Southwest),Q2933905
alberta_(calgary_west),Alberta (Calgary West),Q2933901
alberta_(calgary—nose_hill),Alberta (Calgary—Nose Hill),Q2933912
ontario_(cambridge),Ontario (Cambridge),Q2934691
nova_scotia_(cape_breton—canso),Nova Scotia (Cape Breton—Canso),Q2937241
prince_edward_island_(cardigan),Prince Edward Island (Cardigan),Q2938039
british_columbia_(cariboo—prince_george),British Columbia (Cariboo—Prince George),Q2938767
ontario_(carleton),Ontario (Carleton),Q2939078
ontario_(carleton—mississippi_mills),Ontario (Carleton—Mississippi Mills),Q2939088
saskatchewan_(carlton_trail—eagle_creek),Saskatchewan (Carlton Trail—Eagle Creek),Q16985258
nova_scotia_(central_nova),Nova Scotia (Central Nova),Q3345304
british_columbia_(central_okanagan—similkameen—nicola),British Columbia (Central Okanagan—Similkameen—Nicola),Q16858686
quebec_(chambly—borduas),Quebec (Chambly—Borduas),Q2948104
quebec_(charlesbourg—haute-saint-charles),Quebec (Charlesbourg—Haute-Saint-Charles),Q429015
manitoba_(charleswood—st._james—assiniboia),Manitoba (Charleswood—St. James—Assiniboia),Q2960785
manitoba_(charleswood—st._james—assiniboia—headingley),Manitoba (Charleswood—St. James—Assiniboia—Headingley),Q2960785
prince_edward_island_(charlottetown),Prince Edward Island (Charlottetown),Q2961057
quebec_(châteauguay—lacolle),Quebec (Châteauguay—Lacolle),Q16961180
quebec_(châteauguay—saint-constant),Quebec (Châteauguay—Saint-Constant),Q2971893
ontario_(chatham-kent—essex),Ontario (Chatham-Kent—Essex),Q2961519
ontario_(chatham-kent—leamington),Ontario (Chatham-Kent—Leamington),Q16961184
quebec_(chicoutimi—le_fjord),Quebec (Chicoutimi—Le Fjord),Q2963421
british_columbia_(chilliwack—fraser_canyon),British Columbia (Chilliwack—Fraser Canyon),Q2963623
british_columbia_(chilliwack—hope),British Columbia (Chilliwack—Hope),Q16957671
manitoba_(churchill),Manitoba (Churchill),Q2967671
manitoba_(churchill—keewatinook_aski),Manitoba (Churchill—Keewatinook Aski),Q16958326
british_columbia_(cloverdale—langley_city),British Columbia (Cloverdale—Langley City),Q16949372
newfoundland_and_labrador_(coast_of_bays—central—notre_dame),Newfoundland and Labrador (Coast of Bays—Central—Notre Dame),Q16949517
quebec_(compton—stanstead),Quebec (Compton—Stanstead),Q2990889
british_columbia_(coquitlam—port_coquitlam),British Columbia (Coquitlam—Port Coquitlam),Q16951566
british_columbia_(courtenay—alberni),British Columbia (Courtenay—Alberni),Q16952299
british_columbia_(cowichan—malahat—langford),British Columbia (Cowichan—Malahat—Langford),Q16952399
alberta_(crowfoot),Alberta (Crowfoot),Q3005457
nova_scotia_(cumberland—colchester),Nova Scotia (Cumberland—Colchester),Q3007524
nova_scotia_(cumberland—colchester—musquodoboit_valley),Nova Scotia (Cumberland—Colchester—Musquodoboit Valley),Q3007524
saskatchewan_(cypress_hills—grasslands),Saskatchewan (Cypress Hills—Grasslands),Q3008864
nova_scotia_(dartmouth—cole_harbour),Nova Scotia (Dartmouth—Cole Harbour),Q3016601
manitoba_(dauphin—swan_river—marquette),Manitoba (Dauphin—Swan River—Marquette),Q3017075
manitoba_(dauphin—swan_river—neepawa),Manitoba (Dauphin—Swan River—Neepawa),Q16959462
ontario_(davenport),Ontario (Davenport),Q3017300
british_columbia_(delta),British Columbia (Delta),Q3021905
british_columbia_(delta—richmond_east),British Columbia (Delta—Richmond East),Q3021945
saskatchewan_(desnethé—missinippi—churchill_river),Saskatchewan (Desnethé—Missinippi—Churchill River),Q3024533
ontario_(don_valley_east),Ontario (Don Valley East),Q3035922
ontario_(don_valley_north),Ontario (Don Valley North),Q3035923
ontario_(don_valley_west),Ontario (Don Valley West),Q3035926
quebec_(dorval—lachine—lasalle),Quebec (Dorval—Lachine—LaSalle),Q16962445
quebec_(drummond),Quebec (Drummond),Q3040119
ontario_(dufferin—caledon),Ontario (Dufferin—Caledon),Q602263
ontario_(durham),Ontario (Durham),Q2390150
alberta_(edmonton_centre),Alberta (Edmonton Centre),Q3048042
alberta_(edmonton_east),Alberta (Edmonton East),Q3048045
alberta_(edmonton_griesbach),Alberta (Edmonton Griesbach),Q16966780
alberta_(edmonton_manning),Alberta (Edmonton Manning),Q16966789
alberta_(edmonton_mill_woods),Alberta (Edmonton Mill Woods),Q16974434
alberta_(edmonton_riverbend),Alberta (Edmonton Riverbend),Q16966795
alberta_(edmonton_strathcona),Alberta (Edmonton Strathcona),Q3048071
alberta_(edmonton_west),Alberta (Edmonton West),Q3048051
alberta_(edmonton—leduc),Alberta (Edmonton—Leduc),Q3048059
alberta_(edmonton—mill_woods—beaumont),Alberta (Edmonton—Mill Woods—Beaumont),Q3048063
alberta_(edmonton—sherwood_park),Alberta (Edmonton—Sherwood Park),Q3048061
alberta_(edmonton—spruce_grove),Alberta (Edmonton—Spruce Grove),Q3048064
alberta_(edmonton—st._albert),Alberta (Edmonton—St. Albert),Q3048068
alberta_(edmonton—strathcona),Alberta (Edmonton—Strathcona),Q3048071
alberta_(edmonton—wetaskiwin),Alberta (Edmonton—Wetaskiwin),Q16966798
ontario_(eglinton—lawrence),Ontario (Eglinton—Lawrence),Q3049206
prince_edward_island_(egmont),Prince Edward Island (Egmont),Q3049209
ontario_(elgin—middlesex—london),Ontario (Elgin—Middlesex—London),Q3050861
manitoba_(elmwood—transcona),Manitoba (Elmwood—Transcona),Q3051614
british_columbia_(esquimalt—juan_de_fuca),British Columbia (Esquimalt—Juan de Fuca),Q3058619
british_columbia_(esquimalt—saanich—sooke),British Columbia (Esquimalt—Saanich—Sooke),Q17092809
ontario_(essex),Ontario (Essex),Q3058748
ontario_(etobicoke_centre),Ontario (Etobicoke Centre),Q3059353
ontario_(etobicoke_north),Ontario (Etobicoke North),Q3059355
ontario_(etobicoke—lakeshore),Ontario (Etobicoke—Lakeshore),Q3059361
ontario_(flamborough—glanbrook),Ontario (Flamborough—Glanbrook),Q16978840
british_columbia_(fleetwood—port_kells),British Columbia (Fleetwood—Port Kells),Q3073517
alberta_(foothills),Alberta (Foothills),Q16977569
alberta_(fort_mcmurray—athabasca),Alberta (Fort McMurray—Athabasca),Q3077943
alberta_(fort_mcmurray—cold_lake),Alberta (Fort McMurray—Cold Lake),Q16977823
new_brunswick_(fredericton),New Brunswick (Fredericton),Q3087204
new_brunswick_(fundy_royal),New Brunswick (Fundy Royal),Q267073
quebec_(gaspésie—Îles-de-la-madeleine),Quebec (Gaspésie—Îles-de-la-Madeleine),Q3098861
quebec_(gaspésie—les_Îles-de-la-madeleine),Quebec (Gaspésie—Les Îles-de-la-Madeleine),Q3098861
quebec_(gatineau),Quebec (Gatineau),Q693762
ontario_(glengarry—prescott—russell),Ontario (Glengarry—Prescott—Russell),Q3108745
alberta_(grande_prairie—mackenzie),Alberta (Grande Prairie—Mackenzie),Q16982509
ontario_(guelph),Ontario (Guelph),Q3118872
ontario_(haldimand—norfolk),Ontario (Haldimand—Norfolk),Q5641291
ontario_(haliburton—kawartha_lakes—brock),Ontario (Haliburton—Kawartha Lakes—Brock),Q3125962
nova_scotia_(halifax),Nova Scotia (Halifax),Q2604650
nova_scotia_(halifax_west),Nova Scotia (Halifax West),Q3125968
ontario_(halton),Ontario (Halton),Q513052
ontario_(hamilton_centre),Ontario (Hamilton Centre),Q3126446
ontario_(hamilton_east—stoney_creek),Ontario (Hamilton East—Stoney Creek),Q3126448
ontario_(hamilton_mountain),Ontario (Hamilton Mountain),Q3126460
ontario_(hamilton_west—ancaster—dundas),Ontario (Hamilton West—Ancaster—Dundas),Q16979665
ontario_(hastings—lennox_and_addington),Ontario (Hastings—Lennox and Addington),Q16979735
quebec_(haute-gaspésie—la_mitis—matane—matapédia),Quebec (Haute-Gaspésie—La Mitis—Matane—Matapédia),Q3128505
quebec_(hochelaga),Quebec (Hochelaga),Q3138926
quebec_(honoré-mercier),Quebec (Honoré-Mercier),Q3140203
quebec_(hull—aylmer),Quebec (Hull—Aylmer),Q3143028
ontario_(humber_river—black_creek),Ontario (Humber River—Black Creek),Q3572594
newfoundland_and_labrador_(humber—st._barbe—baie_verte),Newfoundland and Labrador (Humber—St. Barbe—Baie Verte),Q3143222
ontario_(huron—bruce),Ontario (Huron—Bruce),Q290779
quebec_(jeanne-le_ber),Quebec (Jeanne-Le Ber),Q3175926
quebec_(joliette),Quebec (Joliette),Q3183138
quebec_(jonquière),Quebec (Jonquière),Q3183620
quebec_(jonquière—alma),Quebec (Jonquière—Alma),Q3183629
british_columbia_(kamloops—thompson—cariboo),British Columbia (Kamloops—Thompson—Cariboo),Q3192457
ontario_(kanata—carleton),Ontario (Kanata—Carleton),Q17088451
british_columbia_(kelowna—lake_country),British Columbia (Kelowna—Lake Country),Q3194929
ontario_(kenora),Ontario (Kenora),Q3195247
manitoba_(kildonan—st._paul),Manitoba (Kildonan—St. Paul),Q3196587
ontario_(king—vaughan),Ontario (King—Vaughan),Q16977204
nova_scotia_(kings—hants),Nova Scotia (Kings—Hants),Q3197141
ontario_(kingston_and_the_islands),Ontario (Kingston and the Islands),Q3197139
ontario_(kitchener_centre),Ontario (Kitchener Centre),Q3197575
ontario_(kitchener_south—hespeler),Ontario (Kitchener South—Hespeler),Q16979185
ontario_(kitchener—conestoga),Ontario (Kitchener—Conestoga),Q3197577
ontario_(kitchener—waterloo),Ontario (Kitchener—Waterloo),Q3197579
british_columbia_(kootenay—columbia),British Columbia (Kootenay—Columbia),Q3198835
quebec_(la_pointe-de-l'Île),Quebec (La Pointe-de-l'Île),Q3211775
quebec_(la_prairie),Quebec (La Prairie),Q3217787
newfoundland_and_labrador_(labrador),Newfoundland and Labrador (Labrador),Q3214536
quebec_(lac-saint-jean),Quebec (Lac-Saint-Jean),Q3214650
quebec_(lac-saint-louis),Quebec (Lac-Saint-Louis),Q3214654
alberta_(lakeland),Alberta (Lakeland),Q3216473
ontario_(lambton—kent—middlesex),Ontario (Lambton—Kent—Middlesex),Q3216699
ontario_(lanark—frontenac—kingston),Ontario (Lanark—Frontenac—Kingston),Q16976721
ontario_(lanark—frontenac—lennox_and_addington),Ontario (Lanark—Frontenac—Lennox and Addington),Q3216906
british_columbia_(langley),British Columbia (Langley),Q3217272
british_columbia_(langley—aldergrove),British Columbia (Langley—Aldergrove),Q16999141
quebec_(lasalle—Émard),Quebec (LaSalle—Émard),Q3206268
quebec_(lasalle—Émard—verdun),Quebec (LaSalle—Émard—Verdun),Q16979970
quebec_(laurentides—labelle),Quebec (Laurentides—Labelle),Q3219613
quebec_(laurier—sainte-marie),Quebec (Laurier—Sainte-Marie),Q3219676
quebec_(laval),Quebec (Laval),Q3219753
quebec_(laval—les_Îles),Quebec (Laval—Les Îles),Q3219763
ontario_(leeds—grenville),Ontario (Leeds—Grenville),Q581570
ontario_(leeds—grenville—thousand_islands_and_rideau_lakes),Ontario (Leeds—Grenville—Thousand Islands and Rideau Lakes),Q581570
alberta_(lethbridge),Alberta (Lethbridge),Q3236894
quebec_(lévis—bellechasse),Quebec (Lévis—Bellechasse),Q3272022
quebec_(lévis—lotbinière),Quebec (Lévis—Lotbinière),Q3259970
ontario_(london_north_centre),Ontario (London North Centre),Q3258929
ontario_(london_west),Ontario (London West),Q3258933
ontario_(london—fanshawe),Ontario (London—Fanshawe),Q3258986
newfoundland_and_labrador_(long_range_mountains),Newfoundland and Labrador (Long Range Mountains),Q16990299
quebec_(longueuil—charles-lemoyne),Quebec (Longueuil—Charles-LeMoyne),Q16979600
quebec_(longueuil—pierre-boucher),Quebec (Longueuil—Pierre-Boucher),Q3259175
quebec_(longueuil—saint-hubert),Quebec (Longueuil—Saint-Hubert),Q21027519
quebec_(lotbinière—chutes-de-la-chaudière),Quebec (Lotbinière—Chutes-de-la-Chaudière),Q3259970
quebec_(louis-hébert),Quebec (Louis-Hébert),Q3260598
quebec_(louis-saint-laurent),Quebec (Louis-Saint-Laurent),Q3260876
alberta_(macleod),Alberta (Macleod),Q3274746
new_brunswick_(madawaska—restigouche),New Brunswick (Madawaska—Restigouche),Q3275454
prince_edward_island_(malpeque),Prince Edward Island (Malpeque),Q513772
quebec_(manicouagan),Quebec (Manicouagan),Q3285881
quebec_(marc-aurèle-fortin),Quebec (Marc-Aurèle-Fortin),Q3287683
ontario_(markham—stouffville),Ontario (Markham—Stouffville),Q16977352
ontario_(markham—thornhill),Ontario (Markham—Thornhill),Q16977883
ontario_(markham—unionville),Ontario (Markham—Unionville),Q3294346
alberta_(medicine_hat),Alberta (Medicine Hat),Q767079
alberta_(medicine_hat—cardston—warner),Alberta (Medicine Hat—Cardston—Warner),Q767079
quebec_(mégantic—l'Érable),Quebec (Mégantic—L'Érable),Q3332796
ontario_(milton),Ontario (Milton),Q16969295
quebec_(mirabel),Quebec (Mirabel),Q16999883
new_brunswick_(miramichi),New Brunswick (Miramichi),Q3315871
new_brunswick_(miramichi—grand_lake),New Brunswick (Miramichi—Grand Lake),Q17000012
british_columbia_(mission—matsqui—fraser_canyon),British Columbia (Mission—Matsqui—Fraser Canyon),Q16999752
ontario_(mississauga_centre),Ontario (Mississauga Centre),Q975611
ontario_(mississauga_east—cooksville),Ontario (Mississauga East—Cooksville),Q3316906
ontario_(mississauga_south),Ontario (Mississauga South),Q3316911
ontario_(mississauga—brampton_south),Ontario (Mississauga—Brampton South),Q3316914
ontario_(mississauga—erin_mills),Ontario (Mississauga—Erin Mills),Q16976696
ontario_(mississauga—erindale),Ontario (Mississauga—Erindale),Q3316913
ontario_(mississauga—lakeshore),Ontario (Mississauga—Lakeshore),Q3316911
ontario_(mississauga—malton),Ontario (Mississauga—Malton),Q16977742
ontario_(mississauga—streetsville),Ontario (Mississauga—Streetsville),Q3316916
new_brunswick_(moncton—riverview—dieppe),New Brunswick (Moncton—Riverview—Dieppe),Q3320478
quebec_(montarville),Quebec (Montarville),Q16977815
quebec_(montcalm),Quebec (Montcalm),Q3322478
quebec_(montmagny—l'islet—kamouraska—rivière-du-loup),Quebec (Montmagny—L'Islet—Kamouraska—Rivière-du-Loup),Q3322832
quebec_(montmorency—charlevoix—haute-côte-nord),Quebec (Montmorency—Charlevoix—Haute-Côte-Nord),Q528161
saskatchewan_(moose_jaw—lake_centre—lanigan),Saskatchewan (Moose Jaw—Lake Centre—Lanigan),Q17037560
quebec_(mount_royal),Quebec (Mount Royal),Q3321616
british_columbia_(nanaimo—alberni),British Columbia (Nanaimo—Alberni),Q970918
british_columbia_(nanaimo—cowichan),British Columbia (Nanaimo—Cowichan),Q3335526
british_columbia_(nanaimo—ladysmith),British Columbia (Nanaimo—Ladysmith),Q16979413
ontario_(nepean),Ontario (Nepean),Q3338266
ontario_(nepean—carleton),Ontario (Nepean—Carleton),Q3338267
new_brunswick_(new_brunswick_southwest),New Brunswick (New Brunswick Southwest),Q3345015
british_columbia_(new_westminster—burnaby),British Columbia (New Westminster—Burnaby),Q681292
british_columbia_(new_westminster—coquitlam),British Columbia (New Westminster—Coquitlam),Q3339024
ontario_(newmarket—aurora),Ontario (Newmarket—Aurora),Q3339132
british_columbia_(newton—north_delta),British Columbia (Newton—North Delta),Q3339168
ontario_(niagara_centre),Ontario (Niagara Centre),Q3339428
ontario_(niagara_falls),Ontario (Niagara Falls),Q3339434
ontario_(niagara_west),Ontario (Niagara West),Q16977205
ontario_(niagara_west—glanbrook),Ontario (Niagara West—Glanbrook),Q3339430
ontario_(nickel_belt),Ontario (Nickel Belt),Q3339824
ontario_(nipissing—timiskaming),Ontario (Nipissing—Timiskaming),Q3342105
british_columbia_(north_island—powell_river),British Columbia (North Island—Powell River),Q3344130
british_columbia_(north_okanagan—shuswap),British Columbia (North Okanagan—Shuswap),Q512649
british_columbia_(north_vancouver),British Columbia (North Vancouver),Q3344177
ontario_(northumberland—peterborough_south),Ontario (Northumberland—Peterborough South),Q16977243
ontario_(northumberland—quinte_west),Ontario (Northumberland—Quinte West),Q3344250
the_north_(northwest_territories),The North (Northwest Territories),Q606515
the_north_(northwest_territories_(western_arctic_until_2014)),The North (Northwest Territories (Western Arctic until 2014)),Q606515
quebec_(notre-dame-de-grâce—lachine),Quebec (Notre-Dame-de-Grâce—Lachine),Q3344591
quebec_(notre-dame-de-grâce—westmount),Quebec (Notre-Dame-de-Grâce—Westmount),Q17044892
the_north_(nunavut),The North (Nunavut),Q584337
ontario_(oak_ridges—markham),Ontario (Oak Ridges—Markham),Q3347840
ontario_(oakville),Ontario (Oakville),Q14875369
ontario_(oakville_north—burlington),Ontario (Oakville North—Burlington),Q17092100
british_columbia_(okanagan—coquihalla),British Columbia (Okanagan—Coquihalla),Q3350010
british_columbia_(okanagan—shuswap),British Columbia (Okanagan—Shuswap),Q512649
ontario_(orléans),Ontario (Orléans),Q3357764
ontario_(oshawa),Ontario (Oshawa),Q3357223
ontario_(ottawa_centre),Ontario (Ottawa Centre),Q3357743
ontario_(ottawa_south),Ontario (Ottawa South),Q3357747
ontario_(ottawa_west—nepean),Ontario (Ottawa West—Nepean),Q3357746
ontario_(ottawa—orléans),Ontario (Ottawa—Orléans),Q3357764
ontario_(ottawa—vanier),Ontario (Ottawa—Vanier),Q3357766
quebec_(outremont),Quebec (Outremont),Q3358662
ontario_(oxford),Ontario (Oxford),Q3359048
saskatchewan_(palliser),Saskatchewan (Palliser),Q3361537
quebec_(papineau),Quebec (Papineau),Q3362910
ontario_(parkdale—high_park),Ontario (Parkdale—High Park),Q3365449
ontario_(parry_sound—muskoka),Ontario (Parry Sound—Muskoka),Q3366038
alberta_(peace_river),Alberta (Peace River),Q3373803
alberta_(peace_river—westlock),Alberta (Peace River—Westlock),Q17092367
ontario_(perth—wellington),Ontario (Perth—Wellington),Q3376177
ontario_(peterborough),Ontario (Peterborough),Q3376996
ontario_(peterborough—kawartha),Ontario (Peterborough—Kawartha),Q3376996
ontario_(pickering—scarborough_east),Ontario (Pickering—Scarborough East),Q3382506
ontario_(pickering—uxbridge),Ontario (Pickering—Uxbridge),Q16977690
quebec_(pierre-boucher—les_patriotes—verchères),Quebec (Pierre-Boucher—Les Patriotes—Verchères),Q16845155
quebec_(pierrefonds—dollard),Quebec (Pierrefonds—Dollard),Q600123
british_columbia_(pitt_meadows—maple_ridge),British Columbia (Pitt Meadows—Maple Ridge),Q16979770
british_columbia_(pitt_meadows—maple_ridge—mission),British Columbia (Pitt Meadows—Maple Ridge—Mission),Q3389409
quebec_(pontiac),Quebec (Pontiac),Q3397734
british_columbia_(port_moody—coquitlam),British Columbia (Port Moody—Coquitlam),Q3398378
british_columbia_(port_moody—westwood—port_coquitlam),British Columbia (Port Moody—Westwood—Port Coquitlam),Q3398379
manitoba_(portage—lisgar),Manitoba (Portage—Lisgar),Q3398756
quebec_(portneuf—jacques-cartier),Quebec (Portneuf—Jacques-Cartier),Q3399336
saskatchewan_(prince_albert),Saskatchewan (Prince Albert),Q3403304
ontario_(prince_edward—hastings),Ontario (Prince Edward—Hastings),Q3403317
british_columbia_(prince_george—peace_river),British Columbia (Prince George—Peace River),Q3403325
british_columbia_(prince_george—peace_river—northern_rockies),British Columbia (Prince George—Peace River—Northern Rockies),Q3403325
manitoba_(provencher),Manitoba (Provencher),Q3408277
quebec_(québec),Quebec (Québec),Q3414825
newfoundland_and_labrador_(random—burin—st._george's),Newfoundland and Labrador (Random—Burin—St. George's),Q3418841
alberta_(red_deer),Alberta (Red Deer),Q3422687
alberta_(red_deer—lacombe),Alberta (Red Deer—Lacombe),Q16986104
alberta_(red_deer—mountain_view),Alberta (Red Deer—Mountain View),Q16999879
saskatchewan_(regina—lewvan),Saskatchewan (Regina—Lewvan),Q16990355
saskatchewan_(regina—lumsden—lake_centre),Saskatchewan (Regina—Lumsden—Lake Centre),Q2376467
saskatchewan_(regina—qu'appelle),Saskatchewan (Regina—Qu'Appelle),Q3423524
saskatchewan_(regina—wascana),Saskatchewan (Regina—Wascana),Q3423526
ontario_(renfrew—nipissing—pembroke),Ontario (Renfrew—Nipissing—Pembroke),Q3425442
quebec_(repentigny),Quebec (Repentigny),Q3427232
british_columbia_(richmond),British Columbia (Richmond),Q3431468
british_columbia_(richmond_centre),British Columbia (Richmond Centre),Q3431468
ontario_(richmond_hill),Ontario (Richmond Hill),Q3431478
quebec_(richmond—arthabaska),Quebec (Richmond—Arthabaska),Q3431483
quebec_(rimouski-neigette—témiscouata—les_basques),Quebec (Rimouski-Neigette—Témiscouata—Les Basques),Q3432128
quebec_(rivière-des-mille-Îles),Quebec (Rivière-des-Mille-Îles),Q3433602
quebec_(rivière-du-nord),Quebec (Rivière-du-Nord),Q428070
quebec_(roberval—lac-saint-jean),Quebec (Roberval—Lac-Saint-Jean),Q3437020
quebec_(rosemont—la_petite-patrie),Quebec (Rosemont—La Petite-Patrie),Q7368487
british_columbia_(saanich—gulf_islands),British Columbia (Saanich—Gulf Islands),Q3460439
nova_scotia_(sackville—eastern_shore),Nova Scotia (Sackville—Eastern Shore),Q3460955
nova_scotia_(sackville—preston—chezzetcook),Nova Scotia (Sackville—Preston—Chezzetcook),Q3460955
manitoba_(saint_boniface),Manitoba (Saint Boniface),Q3461902
manitoba_(saint_boniface—saint_vital),Manitoba (Saint Boniface—Saint Vital),Q16983980
new_brunswick_(saint_john),New Brunswick (Saint John),Q3463895
new_brunswick_(saint_john—rothesay),New Brunswick (Saint John—Rothesay),Q16979314
quebec_(saint-bruno—saint-hubert),Quebec (Saint-Bruno—Saint-Hubert),Q3461929
quebec_(saint-hyacinthe—bagot),Quebec (Saint-Hyacinthe—Bagot),Q3462434
quebec_(saint-jean),Quebec (Saint-Jean),Q3462577
quebec_(saint-lambert),Quebec (Saint-Lambert),Q3462690
quebec_(saint-laurent),Quebec (Saint-Laurent),Q3462729
quebec_(saint-laurent—cartierville),Quebec (Saint-Laurent—Cartierville),Q3462729
quebec_(saint-léonard—saint-michel),Quebec (Saint-Léonard—Saint-Michel),Q3462835
quebec_(saint-maurice—champlain),Quebec (Saint-Maurice—Champlain),Q3462967
quebec_(salaberry—suroît),Quebec (Salaberry—Suroît),Q16999438
ontario_(sarnia—lambton),Ontario (Sarnia—Lambton),Q3473661
saskatchewan_(saskatoon_west),Saskatchewan (Saskatoon West),Q3473801
